Name,Steps,HeartRate,Calories,Distance,Duration,Age
Elizabeth Kim,9465.0,74.0,542.0,11.68,,25.0
Haley Chen,16330.0,164.0,,13.91,41.0,60.0
Deborah Steele,3684.0,154.0,720.0,4.99,24.0,
Briana Garcia,11382.0,,235.0,12.08,106.0,
Joshua Martin,8114.0,163.0,,11.37,60.0,58.0
Lindsey Trevino,8566.0,88.0,,10.14,,48.0
Brandon Daniel,2782.0,172.0,220.0,7.06,30.0,62.0
Robin Patrick,15357.0,171.0,,,,53.0
Stuart Romero,,142.0,,9.17,,30.0
Keith Richards,,60.0,526.0,4.71,114.0,
Mark Young,3033.0,,260.0,14.39,91.0,19.0
Brian Wade,,70.0,,10.44,,34.0
Julie Reid,9065.0,,116.0,13.74,38.0,
Tina Santana,15560.0,,,6.52,,24.0
Nathan Marquez,7248.0,,491.0,,70.0,44.0
David Harrison,9942.0,114.0,226.0,14.5,89.0,20.0
Joshua Ford,,111.0,405.0,11.99,27.0,25.0
Candace Ramirez,5781.0,,260.0,,77.0,64.0
Jared Hernandez,5014.0,151.0,357.0,4.51,,33.0
Harold Lee,1632.0,83.0,195.0,5.68,45.0,43.0
William Brooks,16654.0,,422.0,7.41,31.0,31.0
Monica Phelps,8874.0,78.0,485.0,10.24,111.0,
Kylie Rios PhD,19548.0,104.0,201.0,11.0,31.0,51.0
Jared Myers,2039.0,,394.0,14.14,114.0,50.0
Tara Mills,6650.0,144.0,417.0,10.54,85.0,25.0
Philip Taylor,15839.0,147.0,816.0,,44.0,53.0
Brianna Mullins,12510.0,69.0,476.0,9.69,61.0,60.0
Jeffrey Gonzales,5478.0,158.0,596.0,13.13,109.0,
Connor Shah,13306.0,134.0,370.0,2.53,52.0,
Ms. Valerie Miller,5414.0,163.0,370.0,,73.0,
Joseph Allen DDS,7243.0,148.0,670.0,,59.0,39.0
Casey Lewis,,112.0,,,76.0,30.0
Joshua Gordon,17918.0,99.0,302.0,1.17,36.0,36.0
Amber Larson,18190.0,174.0,439.0,6.4,,
Brandi Mckee,3719.0,154.0,718.0,1.99,22.0,30.0
Erica Lopez,17541.0,,388.0,12.8,88.0,23.0
Tiffany Mendoza,16541.0,140.0,860.0,8.63,63.0,64.0
David Smith,16283.0,149.0,,8.38,66.0,25.0
Sean Cochran,11865.0,93.0,346.0,9.4,95.0,64.0
Jason Hernandez,,112.0,540.0,14.55,,29.0
Zachary Gray,,168.0,182.0,13.86,49.0,
Matthew Smith,13824.0,96.0,263.0,6.69,,22.0
Chase Walker,,112.0,110.0,2.43,101.0,36.0
Matthew Perkins,10464.0,,847.0,12.69,84.0,
Travis Gaines,,128.0,706.0,,48.0,19.0
Michael Faulkner,,104.0,370.0,,113.0,63.0
Michelle Miller,,71.0,103.0,11.09,67.0,38.0
Travis Sims,16057.0,,477.0,9.01,33.0,52.0
Valerie Quinn,3331.0,137.0,507.0,13.11,19.0,47.0
Nicole Monroe,5707.0,,,,71.0,49.0
Deborah Lee,11837.0,173.0,729.0,12.29,,54.0
Charles Hernandez,2262.0,144.0,224.0,13.37,35.0,
David Jones,7914.0,96.0,643.0,7.78,50.0,
John Livingston,17753.0,142.0,559.0,,,62.0
Tommy Dodson,14986.0,,593.0,13.37,,
Adam Thomas,,161.0,,,43.0,33.0
Brian Diaz,2110.0,68.0,,11.71,75.0,
Brandon Fleming,,111.0,524.0,13.91,,44.0
Angela Jones,6897.0,178.0,255.0,1.29,91.0,22.0
Brenda Nunez,7689.0,,782.0,12.13,80.0,56.0
Christopher Anderson,,104.0,339.0,5.13,,
John Walls,,162.0,281.0,8.63,78.0,56.0
Nancy Donaldson,15912.0,171.0,,6.44,11.0,37.0
Jessica Hopkins,2654.0,,,3.44,91.0,
David Turner,3810.0,150.0,879.0,6.62,52.0,21.0
Kaylee Stevens,1988.0,,644.0,14.05,55.0,64.0
Christopher Sanders,14113.0,95.0,528.0,10.29,,
Olivia Nichols,,108.0,,1.23,,24.0
Lisa Wright,7773.0,147.0,,,12.0,54.0
Whitney Garcia,3296.0,69.0,766.0,7.26,10.0,
Erica Campbell,8410.0,,235.0,1.27,,54.0
Debra Reeves,17237.0,102.0,201.0,3.93,38.0,51.0
Jacob Smith,9753.0,,615.0,,,
William Espinoza,4869.0,138.0,,11.03,68.0,
Maria Collins,,96.0,,1.65,38.0,18.0
John Campbell,19270.0,132.0,102.0,,,28.0
Martha Griffith,,,272.0,,112.0,
Mrs. Mary Burnett,,,573.0,5.64,22.0,43.0
Phyllis Davis,6450.0,129.0,675.0,,47.0,
Brittney Williams,11425.0,101.0,108.0,8.78,,
Andrea James,,109.0,531.0,,18.0,
Jesse Buchanan MD,15299.0,173.0,,14.4,,
Robert Townsend,11995.0,,503.0,5.09,12.0,45.0
Ruth Long,6510.0,,446.0,4.99,111.0,27.0
Amanda Myers,,174.0,598.0,11.89,,22.0
Scott Barrera,5128.0,86.0,733.0,0.76,22.0,61.0
Michelle Herrera,11010.0,177.0,,9.95,25.0,59.0
Ronald Ho,18813.0,119.0,615.0,,5.0,
Holly Oliver,14821.0,156.0,460.0,7.93,28.0,25.0
Rebekah Garrett,19482.0,,609.0,,31.0,40.0
Susan Richardson,14687.0,,,2.9,,
Chad Sanders,12532.0,129.0,716.0,10.27,81.0,50.0
Kyle Patton,,149.0,,1.52,,63.0
Jordan Morales,6145.0,84.0,655.0,0.84,24.0,39.0
Amy Young,6950.0,162.0,195.0,8.07,,39.0
Tamara Hill,14997.0,,,11.8,77.0,21.0
Dennis Powell,16814.0,179.0,708.0,6.7,108.0,
Sarah Nguyen,5612.0,137.0,692.0,,86.0,31.0
Tyrone Mcdonald,4125.0,,579.0,4.06,,
Stephen Lynch,7375.0,142.0,506.0,10.97,86.0,59.0
Rachel Rivera,,60.0,570.0,13.03,42.0,45.0
Natalie Santana,,,674.0,12.96,,55.0
Bob Nguyen,11349.0,92.0,,,49.0,27.0
Jordan Osborne,2267.0,116.0,280.0,3.52,96.0,51.0
Cynthia Gilbert,13214.0,103.0,327.0,10.23,,
Jessica Gilbert,7595.0,,773.0,5.33,46.0,43.0
Robert Baker,1258.0,179.0,425.0,8.85,30.0,25.0
David Nguyen,17006.0,86.0,,14.34,,22.0
Ann Brewer,1120.0,160.0,694.0,7.87,,63.0
Roberto Lutz,,69.0,380.0,13.45,119.0,
Jeffrey Morris,13909.0,159.0,325.0,1.54,31.0,56.0
Rachel Jones,12576.0,,243.0,,89.0,
Tammy Braun,,67.0,181.0,0.55,,26.0
Daniel Gonzales,17856.0,82.0,111.0,7.5,18.0,39.0
Stephen Williams Jr.,19851.0,60.0,579.0,13.12,117.0,
Nancy Johnson,,,,9.07,116.0,54.0
Jacob Gray,15160.0,167.0,314.0,2.94,110.0,
Thomas Adams,1481.0,,711.0,2.0,78.0,29.0
Michael Hancock,,,212.0,1.29,,62.0
Jackie Nelson,3683.0,,832.0,10.66,,28.0
Jacob Pacheco,16764.0,100.0,814.0,9.36,55.0,58.0
Joseph Zhang,19783.0,,486.0,0.95,45.0,44.0
Andrea Bautista,,141.0,207.0,13.46,,39.0
Tami Robbins,4611.0,78.0,800.0,5.84,114.0,43.0
Beth Richardson,3677.0,,,14.22,29.0,39.0
Anthony Rogers,5264.0,173.0,582.0,1.01,,46.0
Vanessa Gill,5574.0,,667.0,1.95,,45.0
James Kim,,,525.0,13.22,,50.0
Sharon Davis,,102.0,469.0,11.32,48.0,
Daniel Collins,16082.0,155.0,,8.1,68.0,28.0
Nicholas Graham,11027.0,141.0,,0.97,116.0,
Matthew Anderson,4199.0,93.0,792.0,5.61,111.0,31.0
Matthew Reynolds,16585.0,121.0,,5.36,115.0,
Bonnie Soto,,86.0,291.0,12.78,109.0,38.0
Natasha Ross,11514.0,112.0,238.0,,92.0,
Connie Phillips,,107.0,,10.68,,53.0
Stephen Schneider,,,,,89.0,53.0
Rebecca Klein,5776.0,166.0,573.0,8.81,,
Brian Hall,,74.0,577.0,13.12,76.0,61.0
Jonathan Martinez,,171.0,561.0,3.98,91.0,40.0
Jesse Coleman,17099.0,115.0,268.0,,38.0,48.0
Brandy Ingram,4427.0,89.0,,14.21,75.0,50.0
Steven Leonard,5539.0,147.0,459.0,8.93,,
Juan Phillips,,,,8.22,56.0,26.0
Derrick Davis,,,806.0,3.08,31.0,61.0
Meghan Hall,,69.0,591.0,5.51,46.0,19.0
Aaron Harris,3303.0,131.0,,7.23,109.0,41.0
Michael George,,155.0,420.0,3.1,51.0,56.0
Carolyn Miranda,11830.0,,832.0,,38.0,24.0
Jenna Perez,,,109.0,1.89,63.0,54.0
Anthony Webster,1041.0,155.0,212.0,6.08,48.0,39.0
Jose Newman,13476.0,119.0,,7.16,,33.0
Alison Davis,4804.0,82.0,753.0,1.71,96.0,32.0
Derrick Glover,4853.0,62.0,486.0,13.56,94.0,62.0
Amber Smith,19818.0,,,4.49,46.0,18.0
Todd Roberts,12176.0,98.0,148.0,,79.0,27.0
Cheryl Hodges,13905.0,,,,112.0,18.0
Alexandria Fletcher,,121.0,707.0,1.42,94.0,61.0
Cameron Fuller,,,282.0,5.02,43.0,33.0
Carol Richards,,69.0,,11.13,,19.0
Eduardo Osborne,17115.0,168.0,691.0,7.2,97.0,63.0
Jack Rogers,17183.0,167.0,381.0,1.13,116.0,20.0
Mr. Douglas Clayton,13990.0,70.0,855.0,6.64,,42.0
Connor Velasquez,,101.0,,0.8,7.0,35.0
Krista Leblanc,4446.0,,866.0,2.54,5.0,20.0
Patrick Rice,4829.0,149.0,449.0,8.4,98.0,
Dawn Hall,18148.0,64.0,263.0,6.75,47.0,
Ronald Russell,4010.0,156.0,759.0,,,19.0
Max Lee,11305.0,111.0,381.0,10.15,42.0,55.0
Gloria Cohen,10627.0,,745.0,,116.0,53.0
Jennifer Wilson,17905.0,131.0,271.0,12.81,51.0,39.0
Ashley Crawford,3562.0,67.0,,12.51,18.0,
Tabitha Mcmillan,11905.0,131.0,,5.89,114.0,38.0
Christopher Dorsey,5504.0,67.0,190.0,6.21,,29.0
Robert James,2502.0,89.0,247.0,0.56,,20.0
Matthew Brown,,92.0,756.0,9.11,13.0,53.0
Andrew Murray,17425.0,93.0,456.0,14.89,86.0,30.0
Kevin Richards,9650.0,158.0,204.0,2.61,111.0,31.0
Brian White,,68.0,391.0,1.16,97.0,54.0
Yvonne Gross,17786.0,168.0,446.0,5.18,49.0,44.0
Ian Bell,3477.0,90.0,775.0,,66.0,24.0
Victoria Bryant,6790.0,85.0,137.0,13.36,62.0,49.0
Michael Smith,9994.0,108.0,406.0,5.76,,
Jose Hill,,,439.0,8.78,90.0,48.0
Albert Foster,5071.0,147.0,626.0,1.68,,59.0
Elizabeth Schwartz,7547.0,158.0,719.0,,11.0,43.0
Emily Valdez,10164.0,119.0,320.0,,,
Carla Johnson,18745.0,,,3.73,25.0,22.0
John Hernandez,,86.0,488.0,12.29,45.0,45.0
Mary Phillips,15559.0,75.0,295.0,14.09,31.0,57.0
Glenn Sanchez,,89.0,897.0,,62.0,21.0
Bobby Reynolds,,142.0,402.0,9.24,23.0,27.0
Tasha Price,5964.0,,794.0,11.55,,
Diane Jackson DDS,13683.0,106.0,,4.8,102.0,39.0
Elaine Schultz,6327.0,92.0,113.0,9.57,86.0,48.0
Devin Perez,3491.0,73.0,767.0,,,61.0
Jeffrey Jacobson,8185.0,150.0,710.0,10.46,85.0,35.0
Charles Woods,4153.0,134.0,340.0,,,
Nicholas Carey DDS,15004.0,72.0,435.0,12.2,35.0,
Lawrence Russell MD,13210.0,108.0,129.0,9.61,13.0,
Lisa Werner,16548.0,107.0,294.0,7.99,24.0,42.0
Deborah Knight,19911.0,,603.0,,82.0,18.0
Heather Davis,13194.0,124.0,768.0,8.18,98.0,49.0
David Barnett,,,693.0,8.1,80.0,
Christopher Thompson,11168.0,130.0,134.0,2.73,21.0,60.0
Steven Clark,,,539.0,13.8,118.0,38.0
Tamara Brown,,176.0,449.0,10.04,7.0,53.0
Joann Wood,18362.0,132.0,431.0,,,
David Barker,1148.0,,,4.27,11.0,
Karen Anderson,8892.0,74.0,265.0,2.37,45.0,39.0
Luis Miller,2806.0,122.0,649.0,3.65,28.0,62.0
Regina Rogers,5067.0,132.0,,9.02,25.0,20.0
Gregory Pitts,2337.0,101.0,286.0,,,54.0
Yolanda Hines,9633.0,,164.0,7.98,74.0,30.0
Greg Thompson,,79.0,104.0,7.63,56.0,41.0
Steven Schmidt,15371.0,64.0,355.0,5.19,40.0,57.0
Peter Morales,17148.0,139.0,102.0,14.44,,32.0
Jessica Gutierrez,,,659.0,6.44,,
Patricia Williams,1476.0,167.0,496.0,10.42,104.0,
Kyle Haynes,1508.0,96.0,708.0,14.28,37.0,41.0
Derek Aguirre,8607.0,102.0,333.0,14.38,104.0,20.0
Dennis Sharp,3831.0,,851.0,1.05,64.0,45.0
Monica Contreras,16114.0,149.0,788.0,7.71,,42.0
Gabriel Powell,18729.0,148.0,,,46.0,
Steven Anderson,14434.0,,722.0,7.98,24.0,21.0
John Thomas,,90.0,872.0,1.58,115.0,54.0
Virginia Hernandez,12654.0,72.0,551.0,4.87,23.0,28.0
Wesley Payne,11630.0,132.0,664.0,7.02,,19.0
Jeffrey Reyes,8509.0,132.0,582.0,11.66,,33.0
Catherine Green,9735.0,83.0,,9.15,27.0,20.0
Cameron Wolf DVM,16184.0,135.0,874.0,14.37,70.0,
Martin Mcknight,,176.0,106.0,,83.0,38.0
Edward Hill,7621.0,162.0,734.0,,113.0,24.0
Veronica Keller,12465.0,139.0,318.0,1.15,77.0,58.0
Collin Allen,1829.0,92.0,200.0,10.48,96.0,49.0
Andrea Anderson,19451.0,64.0,,8.17,119.0,42.0
Adriana Powell,9383.0,113.0,,,92.0,55.0
Lauren Garrett,2176.0,77.0,132.0,1.38,112.0,39.0
Jeffrey Salazar,8171.0,136.0,151.0,,,
Erin White,16346.0,141.0,691.0,13.76,,32.0
Teresa Parks,10483.0,138.0,818.0,2.09,,41.0
Nicole Chang,15452.0,179.0,234.0,,62.0,49.0
Jennifer Vasquez,8139.0,83.0,120.0,0.94,,47.0
Alan Bates,17546.0,118.0,389.0,,33.0,37.0
David Vega,1335.0,151.0,647.0,5.88,45.0,59.0
Cynthia Morgan,,76.0,764.0,5.43,60.0,62.0
Robert Strickland,19381.0,100.0,,5.22,,
Haley Walker,13604.0,132.0,404.0,2.12,103.0,40.0
Lisa Noble,,83.0,193.0,9.04,110.0,35.0
Kenneth Baker DDS,3339.0,163.0,671.0,7.21,91.0,35.0
Marisa Warren,8483.0,163.0,,10.94,,28.0
Stephanie Thomas,,127.0,347.0,14.69,,
Vanessa Higgins,18242.0,,601.0,13.22,92.0,19.0
Jennifer Fry,6019.0,,380.0,1.1,73.0,
Jessica Ryan,7651.0,176.0,492.0,6.9,,62.0
David Lee,16938.0,142.0,,4.44,,45.0
Christopher Adams,12105.0,60.0,778.0,0.52,,45.0
Rhonda Martin MD,8496.0,131.0,,6.32,,61.0
Austin Allen,12375.0,93.0,387.0,2.16,56.0,
Becky Larsen,,101.0,160.0,6.3,39.0,50.0
Seth Brown,18643.0,140.0,882.0,12.17,14.0,25.0
April Phelps,4326.0,121.0,,8.03,60.0,60.0
Samantha Richardson,12421.0,128.0,882.0,10.45,15.0,23.0
Casey Johnson,10725.0,101.0,626.0,10.62,6.0,
Jennifer Scott,8079.0,158.0,,9.22,106.0,48.0
Rose Liu,5866.0,96.0,707.0,8.97,,21.0
Anthony Leach,19815.0,164.0,832.0,,52.0,36.0
Paul Barry,5756.0,,818.0,3.78,,36.0
Heather Green,11722.0,149.0,258.0,7.31,27.0,30.0
Tim Owens,8141.0,170.0,742.0,4.71,93.0,62.0
Amanda Phillips,,,583.0,6.62,25.0,52.0
Michele Shaw,9928.0,94.0,355.0,10.2,86.0,43.0
James Griffin,,155.0,467.0,14.86,65.0,55.0
Louis Mccarthy,19632.0,139.0,211.0,,112.0,22.0
David Herman,,172.0,824.0,5.8,12.0,55.0
Steven Eaton,19527.0,123.0,607.0,12.57,31.0,56.0
Marissa Ford,1278.0,170.0,426.0,6.34,,
William Gomez,13517.0,67.0,281.0,6.53,,
Taylor Mcdaniel,17206.0,98.0,,7.12,33.0,
Anthony Baird,3175.0,117.0,255.0,6.61,,19.0
Jaclyn Davis,15720.0,120.0,381.0,,57.0,25.0
Ashley Moss,18022.0,132.0,327.0,7.94,46.0,33.0
Joshua Jones,4859.0,152.0,260.0,2.69,114.0,31.0
John Blake,15028.0,128.0,194.0,5.55,60.0,
Ralph Wiley,13073.0,165.0,325.0,2.05,,62.0
Joshua Pierce,12741.0,134.0,496.0,9.47,102.0,35.0
Carlos Bright,,144.0,777.0,13.48,45.0,50.0
Patricia Burns,9730.0,132.0,,,75.0,51.0
Elizabeth Stewart,15969.0,157.0,240.0,,35.0,23.0
Dr. Matthew Spencer MD,,159.0,783.0,10.06,119.0,
Douglas Kim,15293.0,79.0,364.0,,62.0,43.0
Monica Cox,1026.0,177.0,416.0,12.69,23.0,62.0
Shannon Diaz,6756.0,165.0,,4.01,117.0,18.0
Jennifer Moreno,4810.0,93.0,312.0,,28.0,
Gloria Chaney,9930.0,64.0,809.0,0.57,56.0,
Nicole James,14897.0,176.0,277.0,11.9,118.0,29.0
Angela Davenport,5897.0,173.0,499.0,8.74,38.0,52.0
Donald Walker,9621.0,114.0,854.0,,63.0,
Chad Ward,,90.0,255.0,2.56,37.0,50.0
Matthew Ryan,,,683.0,12.88,51.0,36.0
Helen Johnston,12303.0,142.0,758.0,,63.0,
Regina Johnson,1237.0,,,9.69,,
Laura Johnson,5471.0,74.0,203.0,4.05,37.0,19.0
Paula White,,103.0,523.0,1.03,78.0,47.0
Anthony Medina,18992.0,63.0,,8.88,84.0,47.0
Natasha Oconnor,4864.0,146.0,153.0,,41.0,41.0
Sara Gordon,1384.0,160.0,820.0,9.39,,26.0
Shawn Oliver,11186.0,85.0,692.0,12.82,,44.0
Amber Delgado,,153.0,159.0,,61.0,30.0
John Brown,15076.0,69.0,,12.18,101.0,44.0
Rachel Gray,10936.0,,627.0,2.58,96.0,31.0
Aaron Stewart,13402.0,167.0,514.0,8.47,8.0,
Tanner Hurley,12219.0,107.0,748.0,,60.0,20.0
Carolyn Wilkinson,9715.0,97.0,127.0,4.38,,64.0
Gerald Morris,6150.0,,,10.82,112.0,
Lisa Rogers,6402.0,135.0,815.0,1.3,110.0,
Michelle Taylor,10639.0,81.0,502.0,10.11,8.0,26.0
Brandon Brown,12195.0,,,6.73,9.0,51.0
Ashley Barrett,,118.0,884.0,4.15,38.0,41.0
Cristian Anderson,4778.0,97.0,123.0,9.48,60.0,
Bobby Lee,9146.0,,242.0,14.74,94.0,30.0
Kelly Wheeler,1244.0,119.0,239.0,,,45.0
Nicholas Miller,18878.0,155.0,436.0,4.94,,38.0
Aaron Carney,14862.0,66.0,639.0,,75.0,41.0
Jennifer Walls,16459.0,,705.0,9.9,95.0,43.0
Lee Smith,19595.0,152.0,323.0,,101.0,46.0
Cindy Bishop,,80.0,,6.71,,31.0
Lisa Cruz,7935.0,144.0,528.0,11.12,102.0,49.0
Dorothy Gibson,6310.0,177.0,,3.75,12.0,
Gregory Fletcher,11305.0,133.0,140.0,4.82,11.0,43.0
Jessica Walker,14481.0,,,4.98,91.0,20.0
Jeremy Flowers,3156.0,,364.0,12.0,18.0,57.0
Beth Anderson,11586.0,93.0,362.0,1.95,55.0,53.0
Sharon Salinas,14764.0,88.0,463.0,10.52,62.0,
Kimberly Powell,12704.0,90.0,601.0,3.14,20.0,63.0
Christina Campbell,14896.0,134.0,677.0,12.22,,48.0
Crystal Cox,7813.0,,491.0,4.95,119.0,43.0
Ryan Parks,3465.0,,133.0,5.5,,25.0
Jessica Hughes,9166.0,104.0,350.0,,,41.0
Richard Diaz,8818.0,138.0,819.0,,,
Mario Escobar,14615.0,163.0,650.0,,116.0,41.0
Joshua Carroll,10928.0,97.0,852.0,14.05,112.0,23.0
Mr. Philip Johnson,1868.0,60.0,441.0,3.61,,
Derrick Vargas,6218.0,143.0,311.0,2.05,,32.0
Stephen Smith,,147.0,,10.2,,60.0
Stephen Smith,5381.0,,110.0,8.09,,
Matthew Hunt,10378.0,100.0,,11.48,,33.0
Charlene Dunlap,,,405.0,,43.0,
Crystal Pham,14107.0,136.0,877.0,7.97,,26.0
Kevin Johnson,10747.0,71.0,713.0,5.78,102.0,44.0
Laurie Johnson,7243.0,82.0,111.0,13.82,85.0,22.0
Matthew Payne,11431.0,178.0,438.0,,,21.0
Brittany Jackson,5940.0,144.0,636.0,5.08,84.0,
Alexis Brown,7119.0,137.0,479.0,13.3,79.0,32.0
Jennifer Perry,8046.0,,302.0,4.78,85.0,27.0
Joshua Lawson,7394.0,79.0,,5.96,70.0,29.0
Brian Thompson,4572.0,,870.0,5.04,35.0,22.0
Emily Cooper,14213.0,90.0,899.0,14.78,,
Jesse Ramos,4290.0,,424.0,,61.0,29.0
Daniel Waters,19340.0,79.0,264.0,6.3,52.0,44.0
Nichole George,14458.0,129.0,725.0,14.74,46.0,
Dr. Kyle Navarro Jr.,3588.0,127.0,339.0,6.14,,38.0
Judy Moore,,126.0,765.0,10.46,55.0,
Leon Best,11335.0,108.0,465.0,,,40.0
Sheila Schmidt,1043.0,72.0,149.0,4.71,8.0,47.0
Bridget Carroll,1264.0,128.0,470.0,9.41,93.0,39.0
Jose Boyer,,99.0,458.0,3.55,18.0,61.0
Dawn Wilson,,173.0,,8.73,79.0,53.0
Patrick Pace,7084.0,79.0,547.0,,16.0,60.0
James Dixon,,133.0,444.0,3.43,74.0,21.0
Joseph Davis,15545.0,,764.0,7.71,97.0,53.0
Daniel Russell,,,702.0,14.88,,47.0
Jennifer Bennett,4651.0,88.0,864.0,10.43,114.0,50.0
Jeffrey Davis,2007.0,,131.0,6.69,11.0,
Karen Mccoy,11282.0,148.0,,5.31,117.0,55.0
Justin Warren,,80.0,797.0,,117.0,47.0
Terry Mathews,2224.0,179.0,797.0,7.95,60.0,61.0
Alex Barnett,1684.0,64.0,331.0,7.58,35.0,48.0
Donald Robinson,3659.0,72.0,352.0,,,50.0
Taylor Richardson,12449.0,73.0,313.0,5.17,35.0,33.0
Richard Lee,14199.0,178.0,297.0,,46.0,
Anna Green,9814.0,93.0,410.0,5.59,118.0,42.0
Melissa Patterson,,158.0,319.0,6.98,14.0,59.0
Timothy White,10595.0,175.0,678.0,,,
Todd Fox,,152.0,779.0,,96.0,43.0
Kathryn Sanford,,68.0,186.0,1.78,,48.0
Daniel Sloan,14531.0,144.0,707.0,,14.0,
Mark Gould,4866.0,,572.0,6.14,85.0,32.0
Eddie Reed,8982.0,66.0,527.0,3.69,,42.0
Katie Mcguire,4972.0,106.0,124.0,0.88,,38.0
Bryan Garcia,14002.0,85.0,499.0,0.54,,22.0
Daniel Swanson,13043.0,133.0,642.0,,88.0,29.0
Jeremy Thompson,,,763.0,,64.0,24.0
Jason Carroll,10782.0,,824.0,4.31,66.0,39.0
Anne Mathis,7838.0,,,,9.0,36.0
Jessica Jones,6807.0,100.0,560.0,,42.0,60.0
David Foster,15229.0,,,,84.0,
Alexander Reed,6749.0,111.0,353.0,9.68,,
Robin Larson,,172.0,368.0,13.75,20.0,60.0
Joshua Hanson,4367.0,,749.0,,41.0,43.0
Amber Merritt,2529.0,,472.0,11.0,,48.0
Kenneth Moore,2980.0,116.0,,7.65,83.0,
Sean Haas,6056.0,151.0,814.0,,,45.0
Shawn Cross,,63.0,842.0,10.04,86.0,41.0
Sarah Smith,,,214.0,,,
Paul Butler,7127.0,155.0,351.0,,79.0,53.0
Matthew Thompson,7182.0,,213.0,4.79,80.0,40.0
Allison Armstrong,9304.0,,485.0,13.77,,19.0
Shannon Livingston,14370.0,,649.0,12.63,25.0,63.0
Blake Boyer,9567.0,,236.0,1.69,28.0,29.0
Rodney Smith,15923.0,78.0,895.0,,50.0,58.0
David Conway,15028.0,159.0,202.0,14.11,5.0,28.0
Jonathan Cortez,17483.0,74.0,,3.47,87.0,57.0
Cody Simpson,,,,9.65,88.0,38.0
Derrick Moss,12037.0,102.0,812.0,0.59,64.0,
Erika Barnett,12346.0,125.0,394.0,7.25,,
Miss Gloria Todd,12252.0,,674.0,8.86,116.0,
John Jackson,5901.0,155.0,487.0,10.41,66.0,35.0
Tiffany Meyer,10559.0,177.0,262.0,14.53,116.0,36.0
James Green,,75.0,393.0,13.93,95.0,23.0
Jose Rivera,9093.0,68.0,,2.55,34.0,22.0
Christopher Bradley,18920.0,147.0,771.0,,62.0,
Theresa Harrison,11709.0,173.0,880.0,7.21,28.0,62.0
Scott Green,,71.0,681.0,1.55,6.0,52.0
Christopher Pittman,7447.0,66.0,689.0,4.68,51.0,61.0
Matthew Vasquez,16183.0,172.0,185.0,8.73,11.0,53.0
Erica Douglas,3927.0,126.0,668.0,,,26.0
Christopher Kramer,3432.0,93.0,560.0,,38.0,26.0
Brett Maxwell,19722.0,,241.0,4.67,38.0,
Jennifer Callahan,8723.0,110.0,871.0,2.79,86.0,
Michael Stewart,3909.0,119.0,759.0,13.43,66.0,55.0
Benjamin Melton,8766.0,162.0,651.0,6.97,115.0,36.0
Mark Miranda,5553.0,92.0,842.0,5.14,70.0,28.0
Jerry Sanders,13744.0,139.0,196.0,,,40.0
Katie Simon,19765.0,113.0,,7.17,66.0,20.0
Kelsey Stokes,8525.0,77.0,295.0,5.33,25.0,18.0
Timothy Jones,,174.0,,10.31,,34.0
Scott Crane,,90.0,166.0,10.07,72.0,
Christian Murphy,1715.0,68.0,387.0,10.68,15.0,57.0
Joel Perry,19860.0,174.0,829.0,,38.0,22.0
Elizabeth Colon,,68.0,,13.2,,59.0
Heather Weaver,4057.0,70.0,287.0,8.13,15.0,64.0
Michael Klein,18811.0,107.0,697.0,,,
Ryan Fitzgerald,,,484.0,,71.0,
Dr. Connor Douglas DDS,17098.0,132.0,483.0,6.61,23.0,49.0
Jennifer Mcclure,2261.0,94.0,851.0,,46.0,34.0
Mary Flowers,18099.0,106.0,814.0,8.77,45.0,62.0
Ashley Wilson,1550.0,93.0,,6.3,19.0,55.0
Robert Hopkins,,133.0,,4.0,,
Jeremy Miller,17706.0,,,13.22,22.0,59.0
Christopher Casey,16342.0,88.0,713.0,7.72,100.0,34.0
Debra Williams,10038.0,,853.0,,109.0,26.0
Jerry Turner,14174.0,121.0,103.0,12.08,89.0,46.0
Samantha Buck,5330.0,143.0,361.0,,27.0,48.0
Mr. Anthony Campos Jr.,5846.0,153.0,529.0,2.6,116.0,22.0
Charles Scott,1066.0,158.0,892.0,5.53,16.0,61.0
Janice Oliver,,77.0,,10.9,,48.0
Thomas Lawrence,18220.0,67.0,779.0,9.27,104.0,63.0
Larry Cole,18543.0,142.0,,,113.0,26.0
Stephanie Williams,19943.0,153.0,321.0,7.07,80.0,61.0
Amy Reyes,,,531.0,,38.0,33.0
Andrew House,10142.0,90.0,,,,18.0
Eric Garner,13579.0,,571.0,8.87,113.0,44.0
Molly Murray,,,785.0,6.5,,37.0
Linda Howard,12651.0,,586.0,,,
Alicia Wood,5177.0,136.0,740.0,7.98,96.0,39.0
Patrick Ochoa,12859.0,76.0,406.0,5.55,18.0,
Tony Simon,11355.0,,454.0,9.06,5.0,62.0
Michelle May,1529.0,73.0,,8.12,,64.0
Michael Mcdonald,12900.0,153.0,160.0,12.43,96.0,38.0
Samantha Jones,,78.0,692.0,14.35,,50.0
William Carroll,13899.0,76.0,,2.47,77.0,23.0
Sonya Harrington,1324.0,130.0,612.0,14.25,10.0,60.0
Gregory Miller,13124.0,84.0,541.0,14.82,34.0,41.0
Lauren Barrera,5639.0,146.0,342.0,1.41,36.0,36.0
Monique Berry,13248.0,89.0,,1.17,17.0,31.0
Tyler Williamson,16232.0,82.0,144.0,7.44,,20.0
Kenneth Kane,,,608.0,,71.0,52.0
