Name,Steps,HeartRate,CaloriesBurned,HoursOfSleep,DistanceWalked,ActivityType
Nancy Jones,13759,83.4,2191.1,8.4,12.71,Walking
Dr. Gwendolyn Robbins,11439,85.8,2270.9,5.8,6.94,Walking
Paige Rodriguez,16225,70.3,2049.3,9.5,6.67,Walking
Lisa Gonzalez,13590,90.7,1751.9,7.8,12.48,Walking
Teresa Moreno,17735,66.6,2299.1,7.3,9.45,Running
Jennifer Garcia,1496,76.4,2673.2,6.6,7.42,Walking
Cameron Byrd,2240,68.5,1896.8,8.2,5.84,Running
Jeanette Sullivan,12603,77.6,2433.0,8.6,7.86,Running
Katelyn Young,5190,69.0,2290.9,8.8,5.23,Walking
Edward Johnson,11841,84.0,2488.4,8.2,9.21,Cycling
Robin Dorsey,1670,70.4,2567.5,5.7,12.51,Cycling
Kenneth Fields,16420,89.2,2586.7,5.4,8.22,Resting
Hayden Robinson,10212,93.8,2577.2,9.6,8.43,Running
Daniel Sawyer,15439,81.8,2101.8,6.0,1.88,Walking
Lindsay Williams,9057,71.9,2765.1,9.9,6.39,Resting
Nicole Armstrong,4228,78.3,2252.1,9.5,14.63,Walking
Dawn Scott,18498,93.3,1691.7,8.5,4.22,Running
Lauren Floyd,6773,56.3,1908.8,4.3,6.38,Walking
Joseph Franklin,14614,73.5,2190.8,7.8,1.25,Cycling
Travis Oconnor,5031,76.5,2090.1,9.7,6.51,Walking
Manuel Valdez,19468,69.5,1430.9,9.4,2.09,Walking
Donald Barnes,19481,67.3,1556.0,4.2,7.76,Running
Hannah Marsh,10612,77.0,1863.1,5.9,7.36,Resting
Stacey Jones,2823,74.4,2078.4,4.4,1.26,Running
Latasha Dixon,18277,71.3,1244.4,7.7,4.45,Resting
Donald Brown,1816,84.2,2730.6,4.1,4.49,Resting
Patricia Mcmahon,16132,71.3,1695.5,7.8,3.09,Walking
Jonathan Brown,17416,87.8,1510.5,4.9,4.11,Resting
Michael Miller,11064,82.3,2442.3,4.7,4.52,Resting
Matthew Young,1441,95.2,2268.5,9.8,11.99,Cycling
Shelly Simmons,7421,89.8,2055.1,8.5,13.25,Running
Joyce Sparks,16382,75.3,2934.5,8.3,2.88,Walking
Louis Mcgee,9393,73.5,2252.6,8.9,12.37,Running
Andrew Peterson,11754,83.0,2835.6,5.2,3.28,Walking
Nina Silva,9209,66.0,1792.9,7.4,5.99,Running
Ashley Robinson,10458,60.2,2231.6,4.8,10.77,Cycling
Amanda Howe,13467,92.6,1766.9,6.7,11.68,Walking
Joshua Martin,7174,66.5,2441.2,5.3,9.14,Resting
Cody Bailey,17572,66.9,2619.6,6.5,6.31,Running
Cynthia Arroyo,9039,71.2,2593.3,5.6,4.71,Cycling
Justin Russell,2751,82.9,2476.8,9.7,3.14,Cycling
Crystal Cain,2255,67.8,1666.7,8.4,7.19,Resting
Kelly Reynolds,15514,64.2,2001.0,9.7,12.01,Cycling
Kayla Thornton,16341,65.8,1755.3,7.4,2.02,Cycling
Nicholas Conner,10631,60.5,2354.6,7.4,13.59,Cycling
Jonathan Berry,4108,71.0,1721.0,4.9,11.22,Resting
Leah Gordon,7742,76.0,1992.2,5.9,1.86,Resting
Mrs. Susan Herring,2767,81.4,1894.5,4.6,8.61,Running
Alexis Harris,4547,64.9,1317.3,9.1,1.72,Walking
Faith Robinson,2338,65.4,2135.2,9.1,12.57,Walking
Sonya Allen,7734,74.3,2014.5,5.2,8.11,Walking
Alexandria Aguilar,3962,79.9,2617.6,7.7,2.07,Walking
Tiffany Hogan,1348,93.2,2177.5,6.1,12.78,Cycling
Margaret Ward,14061,84.5,1817.9,5.1,13.69,Resting
Ashley Shelton,19014,72.0,1998.6,4.6,14.15,Running
Adam Carter,11140,59.5,1937.3,4.8,14.98,Walking
Amanda Norris,4781,72.8,2145.0,4.9,13.54,Cycling
Matthew Rodriguez,13129,76.7,2340.2,4.1,8.2,Running
Leslie Costa,5574,75.2,2337.4,9.1,6.34,Resting
Evan Brown DDS,17575,88.2,2326.0,5.3,11.83,Resting
Patricia Jones,15163,80.8,2692.3,9.5,6.57,Walking
Patrick Bradshaw,7758,78.0,2369.8,6.6,13.97,Cycling
Jessica Williams,15608,84.1,2394.0,7.3,7.43,Cycling
Jasmine Bennett,10703,72.9,2040.1,7.8,10.4,Resting
Casey Ryan,9710,89.7,2430.5,7.4,3.45,Walking
Abigail Cline,5504,79.2,3108.3,8.9,4.25,Running
Brian Chen,15375,70.1,3175.3,4.6,12.78,Cycling
Mitchell Cooley,16852,64.9,1882.4,5.2,3.53,Running
Elizabeth Mckenzie,14535,75.3,2033.1,7.2,4.88,Walking
Andrea Roberts,3991,62.2,2194.2,5.7,5.79,Cycling
Michael Williamson,16108,63.9,2234.2,4.6,4.52,Resting
Jeffery Gonzalez,11062,66.9,2671.8,4.2,7.09,Running
Brenda Vega,9432,67.6,2030.7,7.4,13.06,Walking
Mrs. Nicole Ross DDS,8935,73.6,2330.4,4.8,14.34,Resting
Jamie Moore,17436,83.1,1978.7,6.7,7.35,Running
Javier Zimmerman,19766,79.5,1954.5,9.6,5.73,Walking
Barbara Miller,12087,94.0,1816.7,6.7,1.1,Cycling
Lauren Beltran,17768,77.6,1819.5,4.6,11.54,Resting
Jennifer Deleon,7855,80.8,2288.1,4.2,2.53,Cycling
Alexander Brandt,1336,82.4,1998.1,5.9,3.32,Running
Julie Gutierrez,13536,76.0,1836.7,4.6,2.18,Walking
Catherine Smith,6260,72.7,1610.2,6.1,7.76,Running
James Taylor,10301,83.2,2105.1,4.7,7.85,Resting
Megan Caldwell,5239,83.1,2090.9,5.0,13.66,Running
Victoria Ballard,3647,73.1,2380.3,5.4,6.97,Cycling
Mark Davis,13534,59.1,2468.6,5.4,14.93,Walking
Matthew Carter,14656,69.5,2777.8,7.6,1.82,Running
Elizabeth Wilson,2306,88.3,1829.7,5.4,2.31,Running
James King Jr.,17098,72.3,3136.8,8.7,12.24,Resting
James Edwards,13304,87.6,2226.5,9.5,12.12,Resting
Andrew Gilbert,2701,57.9,2946.1,9.4,2.4,Resting
Janet Kim,16213,45.3,1781.8,6.9,13.98,Running
Darlene Reilly,16595,81.6,2176.3,5.6,5.93,Resting
Jonathan Wood,1255,57.9,2576.4,8.3,7.93,Walking
Autumn Hardy,2603,73.4,2687.8,6.8,4.18,Cycling
Lisa Edwards,1348,67.7,2762.1,5.3,9.37,Resting
Ashley Duffy,11707,84.3,2785.8,10.0,13.04,Resting
Michelle Donaldson,2015,76.9,2170.8,8.1,14.8,Running
Jacqueline Lynch,10827,95.4,2561.3,9.9,14.06,Walking
Sandra Valentine,13773,76.9,2730.2,8.3,7.54,Running
Lee Valdez,17872,61.5,1785.1,7.3,13.37,Running
Nichole White,12288,66.1,1734.9,7.8,10.64,Walking
Kathleen Hamilton,1883,74.4,2085.3,7.5,10.14,Resting
Scott Yates,7745,83.2,2447.9,8.2,7.88,Cycling
Lauren Munoz,12437,87.1,2075.9,9.6,6.46,Running
Tiffany Wood,6755,82.3,2165.7,5.0,13.39,Cycling
Becky Holmes,10953,87.4,1840.7,9.2,3.82,Running
Dr. Tara Arnold,14350,81.7,2261.0,4.4,3.02,Resting
Ashley Martin,10180,79.1,2244.6,9.3,12.03,Running
Lauren Mullen,5697,79.8,2249.1,9.0,3.77,Resting
Carrie Gutierrez,6236,79.5,1640.9,8.2,14.8,Running
Anthony Martinez,10806,77.7,2285.9,6.7,13.24,Resting
Lisa Baldwin,12458,76.9,2119.3,7.2,10.68,Cycling
Lisa Taylor,7658,66.0,2489.8,9.4,3.92,Cycling
Zachary Taylor,8598,57.8,1763.4,9.2,5.74,Walking
Michelle Martin,12584,64.7,2796.3,5.9,1.13,Cycling
Brandy Dominguez,17514,66.4,1989.3,4.9,14.42,Resting
Michael Arellano,9728,72.2,2210.5,4.1,10.26,Running
Nancy Cantu,11978,87.8,2093.2,5.4,2.83,Running
James Hernandez,13298,78.7,2963.1,8.3,5.4,Running
Brittany Lee,18308,78.3,2565.6,4.5,14.82,Running
Diane Dunlap,11294,73.0,1939.3,9.8,12.44,Resting
Manuel Bernard,1154,81.8,1473.0,6.9,4.61,Walking
Phillip Walls,17679,90.0,2509.1,9.7,14.86,Resting
Richard Green,3933,55.5,2113.6,7.7,1.53,Running
Jose Carroll,11198,93.1,1881.0,4.1,11.67,Resting
Ernest Ward,4364,79.9,2125.5,9.3,5.22,Cycling
Heather Cox,19761,74.9,2414.5,5.6,13.08,Running
Stacy Best,7244,65.0,2326.4,7.9,8.02,Cycling
Christopher Rivers,11546,75.5,2067.1,5.2,1.46,Cycling
Brian George,10031,66.4,2100.6,7.4,1.94,Cycling
Justin Bautista,2049,73.7,1585.8,9.7,2.18,Running
Christopher Burns,8950,81.5,1740.2,5.2,10.86,Walking
Noah Ross,7584,110.2,1942.8,7.9,11.57,Resting
Rebecca Martinez DDS,19360,86.2,2261.2,7.4,9.76,Running
Dr. Anthony Stafford,4930,66.3,1714.4,8.1,14.49,Walking
Danielle Vasquez,6476,66.8,2335.1,5.3,13.45,Walking
Virginia Roberts,12506,98.7,2798.7,6.0,2.21,Cycling
Sarah Ruiz,1141,88.1,2648.7,10.0,11.62,Running
Heather George,19301,59.5,1996.1,6.0,4.14,Resting
Mario Williams,9504,69.2,1901.4,6.3,12.09,Walking
William Sullivan,9802,73.5,1673.5,9.6,2.19,Resting
Tracy Orr,12609,72.9,1043.3,6.9,4.55,Cycling
Robert Patterson,16578,81.9,1645.5,7.2,7.69,Cycling
Ashley Shaffer,3793,62.4,2309.6,6.1,12.59,Running
Phillip Mason,9819,69.0,2764.5,6.1,12.55,Running
Frank Li,13171,84.3,2387.3,8.1,4.2,Resting
Taylor Potts,18788,55.2,2475.6,4.4,5.86,Resting
William Williams II,11719,87.4,2119.5,8.9,10.13,Running
Nancy Rosario,6251,61.6,2353.5,8.0,12.01,Walking
Allison Williams,16587,72.5,1881.2,8.5,10.27,Resting
Ashley Robles,1095,95.3,2065.7,6.0,4.57,Walking
Henry Rodriguez,2689,80.9,2008.8,6.6,1.89,Running
Jacob Miller,18929,73.1,2442.5,9.4,9.19,Walking
Leslie Vasquez,12017,68.8,1995.3,7.5,5.28,Cycling
Terri Nelson,11570,73.7,1629.6,9.8,12.65,Walking
Jay Mitchell,14629,79.4,2772.1,6.8,10.11,Resting
Deborah Underwood,1873,80.7,1991.5,6.3,8.72,Walking
Jonathan Baxter,4849,63.5,2215.7,9.9,9.14,Walking
Leslie Lopez,14470,52.6,2057.6,6.1,10.82,Resting
Lisa Johnson,8830,85.6,2339.2,5.2,5.72,Running
Jeffrey Watson,15332,78.9,1586.0,6.6,13.9,Resting
Christopher White,11802,73.9,2139.8,7.4,1.95,Walking
Jocelyn Rodriguez,19434,61.1,2000.6,4.6,1.04,Cycling
Taylor Myers,7864,91.3,1942.7,8.9,13.99,Walking
Laura Shaw DDS,7385,70.5,1817.4,5.5,11.81,Walking
Jeremy Mckenzie,2219,63.6,2391.2,9.8,9.15,Cycling
Brandi Liu,1985,62.7,2049.9,4.7,13.5,Walking
Valerie Peterson,2672,68.3,2145.3,4.7,3.79,Running
Bradley Coleman,10176,82.9,2160.3,5.7,9.05,Cycling
Matthew Ortega,15057,79.9,2523.3,9.2,12.42,Running
Stephanie Ward,7266,72.8,2367.3,5.4,6.58,Running
Susan Rodriguez,14416,78.8,2357.1,5.3,12.74,Resting
Karen Charles,5386,75.9,1631.3,5.9,14.86,Running
Donald Hill,16579,66.2,1472.2,8.7,7.72,Cycling
Zachary Howell,10148,90.7,2039.8,6.4,5.35,Running
Jill Garcia,13935,54.4,1935.9,4.2,6.76,Running
Lauren Harper,12920,79.8,1673.3,4.7,14.09,Running
Brandon Barnett,5800,77.6,1647.6,6.8,8.74,Walking
Jennifer Stone,15718,66.2,2286.7,8.9,12.17,Resting
Lisa Rojas,2423,68.0,2367.4,8.7,14.51,Running
James Duncan,5291,73.1,1564.9,8.9,9.21,Cycling
Amanda Carr,6521,71.2,2512.9,4.5,8.37,Running
Sharon Perry,6992,82.4,2289.8,4.1,7.97,Resting
Jennifer Miller,4682,83.1,2686.9,6.2,11.87,Resting
Elizabeth Alexander,5704,72.4,1929.9,5.8,14.73,Running
Tony Sampson,9735,84.9,1776.1,5.9,11.55,Running
Katie Hart,10347,81.6,2564.1,5.0,5.69,Cycling
Carmen Flores,16563,80.0,2133.3,8.4,4.94,Running
Alexander Erickson,19312,73.8,2092.1,7.7,9.05,Walking
Julia Melendez,5050,89.0,1524.1,9.5,8.87,Cycling
Miss Nicole Arroyo,10181,75.6,1978.5,5.5,8.55,Resting
Anthony Thomas,19169,89.0,2867.1,8.2,9.17,Cycling
Andrea Rodriguez,10960,82.1,1568.5,7.6,11.21,Cycling
Savannah Powell,19265,76.3,2462.8,6.2,1.24,Resting
Christopher Rodgers,6455,82.2,1817.3,5.2,2.6,Resting
Julian Hughes,8590,83.8,1920.1,5.3,9.34,Walking
Jason Robinson,7860,88.4,1726.8,8.8,8.16,Resting
John Russo,8869,76.5,3164.9,5.5,6.43,Walking
Timothy Maxwell,8688,68.9,1798.1,5.6,10.06,Resting
Amanda Carlson,10298,87.9,1920.6,9.3,3.77,Cycling
Wendy Gibbs,3165,74.2,1884.9,5.4,2.25,Walking
Christopher Liu,1578,68.6,1716.3,7.4,2.44,Resting
Nancy Lara,13709,70.6,2489.1,6.9,1.79,Resting
Brenda Moon,6370,47.5,1871.6,9.2,8.05,Resting
Jennifer Blair,5512,85.0,1838.4,6.8,8.75,Resting
Lynn Young,15501,98.1,2108.1,9.8,4.06,Walking
Dustin Weaver,1622,79.1,1749.0,8.5,13.55,Walking
Jon Bailey,18339,84.6,2543.0,7.8,14.89,Resting
James Jackson,3907,70.0,2190.8,5.4,5.47,Cycling
Stacy Cooper,10787,78.3,1610.3,5.2,2.84,Running
Sarah Moore,15028,76.4,2182.0,6.9,10.4,Running
Jamie Morris,14591,81.3,2414.9,9.0,3.53,Running
Glenn Tyler,5579,55.6,2953.6,4.3,7.92,Cycling
Alexander Decker,13743,64.2,2108.7,6.2,14.38,Walking
Michael Williams,5843,95.9,2438.4,7.8,12.21,Resting
Ashley Hale,11807,63.4,1821.6,7.7,7.78,Cycling
John Holt,19744,88.5,1846.8,6.4,13.81,Running
Jacob Coffey,16447,75.3,1486.5,9.7,8.39,Running
Amber Solomon,19720,83.1,2061.6,5.3,4.55,Cycling
Deborah Mcgee,15886,72.1,2663.1,5.8,1.13,Running
Cathy Valdez,6325,70.4,1809.3,7.7,10.69,Running
Allison Miller,4897,61.3,1790.9,9.7,1.77,Resting
William Hernandez,3380,72.5,1583.8,6.9,2.44,Running
Rebecca Kelly,4696,68.3,2104.5,8.4,1.49,Resting
Kathy Martin,6292,89.2,2259.3,4.6,2.23,Walking
Sherry Bell,3373,68.7,2306.3,7.5,3.83,Cycling
Dalton Dawson,2654,78.4,2351.8,6.5,10.94,Running
Courtney Ayala,4106,70.8,1528.6,5.4,6.09,Running
Daniel Moore,16661,83.8,1860.0,9.5,10.45,Running
Thomas Cannon,12006,69.0,2428.2,4.3,3.09,Walking
Zachary Carr,13224,69.0,2135.0,8.8,13.48,Walking
Scott Jones,11531,83.4,2427.6,6.1,5.53,Running
Marissa Wood,19090,87.5,2176.5,9.2,14.44,Walking
Brittany Simon,3821,74.1,2125.3,6.0,2.52,Cycling
Brandon Giles,8899,88.9,2602.2,7.1,11.92,Walking
Michael Brown,11918,71.3,2056.1,8.3,2.44,Walking
Sarah Hodges,16578,78.7,1730.3,4.9,2.3,Running
Melanie Dorsey,2059,74.6,1427.2,6.6,5.89,Walking
Michelle Wilson,13459,71.3,2250.7,8.6,4.9,Running
John Hill,5515,84.9,2284.4,4.8,7.43,Running
Ian Campbell,8629,68.4,2506.2,6.0,8.55,Walking
Scott Stewart,2677,89.1,1998.7,6.7,8.6,Walking
Rebekah Kelley,12711,80.2,2266.7,6.0,8.39,Resting
Heather Lane,12865,75.7,2014.8,7.5,10.75,Cycling
Patricia Rasmussen,14004,70.7,1986.4,8.7,5.75,Cycling
Kevin Knapp,2924,63.6,2885.8,7.7,11.78,Resting
Joshua Beck,18899,86.2,1952.9,7.9,2.31,Resting
Laura Tanner,17159,69.1,1625.5,5.4,13.36,Cycling
Jason Brown,2962,75.0,2606.7,5.0,5.4,Cycling
Thomas Ellis,13859,70.4,2014.3,8.7,10.07,Walking
Thomas Kennedy,17188,78.4,2331.1,5.4,11.97,Cycling
Charles Robbins,12199,81.9,2229.9,9.7,5.26,Resting
Katherine Smith,4891,100.3,2410.5,5.4,6.53,Resting
Joseph Cummings,3492,93.4,1677.7,8.6,3.29,Cycling
Victoria Harris,16044,54.7,1805.7,7.2,9.23,Running
Melissa Edwards,17211,80.7,2379.7,6.2,11.78,Walking
Randy Martin,1973,75.0,2171.9,5.8,2.41,Resting
Steven Smith,8194,73.8,2447.7,9.4,3.34,Cycling
Thomas Hampton,12800,57.9,2064.5,5.1,10.16,Cycling
Jamie Calderon,2770,77.5,2207.1,6.1,11.4,Resting
Jesse Kelley,7007,75.2,2250.5,5.0,5.62,Running
Chelsea Young,8209,72.9,2576.0,6.7,5.56,Walking
Steven Bell,10632,80.6,2787.4,7.2,4.37,Walking
Sean Hancock,8335,83.6,1437.0,6.5,3.67,Cycling
Robin Jenkins DVM,5884,56.8,1871.5,9.3,4.41,Cycling
Audrey Jones,11863,73.4,2644.1,4.8,9.77,Cycling
James King,2184,79.3,1901.5,7.8,5.23,Running
Melissa Merritt,7812,98.5,2203.6,4.1,12.68,Resting
Melissa Small,16194,84.1,1741.5,4.5,12.6,Resting
Willie Vazquez,3832,82.8,996.2,5.7,13.4,Walking
Jacob Harper,10593,71.1,2675.9,5.0,12.69,Running
Gregory Reese,4464,78.8,2917.1,4.1,14.94,Walking
Christian Patterson,17762,79.9,1763.0,5.5,8.18,Resting
Jessica Rodriguez,6473,79.5,1786.8,9.4,1.13,Walking
Amy Pennington,11284,86.8,2027.8,6.4,7.03,Cycling
Matthew Parrish,4210,75.3,1959.3,9.6,4.76,Running
Victor Sellers,17448,70.6,3122.8,9.8,5.34,Cycling
Marie Lopez,19528,63.7,2582.9,9.7,13.0,Cycling
Mr. James Robinson PhD,2579,73.5,1950.2,4.8,9.57,Cycling
Patricia Armstrong,14933,61.3,1964.8,6.3,3.66,Running
Jennifer Sawyer,1249,71.9,2190.4,9.4,7.34,Cycling
Brenda Benjamin,14622,78.6,2546.4,4.5,14.96,Running
Shannon Montgomery,12184,68.9,1819.6,7.5,12.9,Cycling
Sue Waters DVM,6421,62.9,2886.7,4.2,13.27,Resting
Amber Potter,3973,80.3,2368.6,8.1,12.38,Resting
Donna Todd,18361,81.3,2551.6,5.1,6.41,Cycling
Rebecca Crosby,18110,76.1,2667.3,4.6,2.09,Cycling
Lee Thomas,4158,66.6,2132.8,4.9,12.42,Running
Henry Smith,11031,41.9,1787.3,5.5,4.2,Resting
Juan Vega,10876,97.6,2290.9,6.7,4.83,Walking
Jacob Black,1789,75.7,2217.9,9.8,2.5,Running
Ashley Hall,1734,80.3,2706.6,5.5,8.83,Cycling
Lori Mitchell,2358,89.4,1798.9,6.3,7.47,Cycling
Benjamin Carson,19446,68.5,2213.1,9.4,3.78,Resting
Andrew Bailey,16180,62.1,2013.2,6.0,7.05,Running
Nicole Sweeney,12892,67.6,2571.4,9.6,9.97,Cycling
Ronald Shepard,12157,75.5,2018.1,4.3,13.84,Cycling
Jorge Murray,16417,68.9,1857.9,7.4,11.44,Resting
Austin Swanson,6377,72.7,2713.9,5.1,8.26,Cycling
Stephen Sanchez,9229,73.4,2785.6,4.9,4.75,Resting
Emily Price,15854,65.3,2178.4,8.2,9.23,Resting
Charles Sims,12468,82.6,2358.8,4.0,7.06,Walking
Thomas Barker,2594,70.6,2149.4,5.5,5.49,Resting
Mark Gonzalez,16938,72.7,1784.0,6.8,11.39,Resting
Timothy Gutierrez,11486,73.0,1502.5,5.9,5.29,Walking
Kylie Price,14332,81.1,1721.0,5.7,5.01,Cycling
Scott Brady,18763,52.5,2131.8,9.8,6.59,Running
Steven Parker,8785,81.6,1697.3,7.7,9.07,Cycling
Jennifer Johnson,18453,82.7,2125.7,5.5,11.2,Walking
Kayla Williams,4592,79.1,1808.0,4.3,7.48,Cycling
Alyssa May,6968,78.7,1488.4,7.0,14.37,Cycling
Audrey Garner,9147,76.1,2517.9,7.3,13.89,Running
Whitney Osborne,13518,71.0,2044.7,9.3,1.21,Cycling
Brandy Sanders,4497,76.2,3145.2,6.5,5.19,Running
Kelly Henderson,17212,68.7,2129.0,4.3,6.97,Cycling
Christopher Griffin,13792,72.1,2902.1,7.0,8.87,Resting
James Lopez,19862,69.0,1966.7,9.1,9.41,Cycling
Mary Rogers,15542,79.5,2140.8,5.0,8.3,Cycling
Sarah Snyder,17512,78.6,1914.1,4.6,4.52,Resting
Barbara Gonzalez,1664,74.8,2384.6,4.6,7.99,Walking
Henry Hall,15084,61.4,2898.5,6.9,5.9,Walking
Angela Holland,19909,73.3,2297.9,5.4,10.2,Resting
Kirk Parsons,16842,77.4,1714.1,7.1,7.57,Cycling
Amanda Webb,8076,81.4,2140.8,6.8,6.38,Running
Beverly Owens,16836,83.4,2212.7,9.2,13.26,Cycling
Evelyn Austin,14822,77.0,2139.8,5.7,10.9,Walking
Natalie Sloan,13616,69.7,2942.9,9.2,3.15,Cycling
Karen Schmidt,10007,86.8,2382.0,6.1,2.97,Running
Lisa Wells,6085,89.2,2698.2,8.0,5.08,Resting
Erik Rowe,19019,64.4,2679.3,4.4,11.71,Running
Robert Smith,2139,78.2,1523.9,9.4,13.2,Cycling
Lori Todd,12676,69.6,1651.3,6.5,14.36,Running
Robert Flores,2333,76.4,2275.9,8.1,9.22,Running
Melissa Coleman,16857,70.5,2448.0,6.1,3.43,Walking
Michael Cole,14443,78.6,2425.1,6.4,7.49,Resting
Angela Sanchez,17474,84.0,1972.9,9.3,9.08,Running
Robert Haley,19303,82.4,2143.1,7.9,4.28,Running
Bridget English,13629,74.4,2597.2,4.5,2.96,Walking
Michael Gomez,5806,81.1,2129.7,8.2,2.89,Running
Christopher Mcmahon,3358,83.5,2182.9,6.7,9.2,Resting
Daniel Cook,9686,84.6,2379.2,9.6,3.64,Cycling
Matthew Warren,10682,86.6,1941.2,9.8,7.36,Resting
Douglas Wright,8644,72.8,2455.1,10.0,7.76,Cycling
James Patterson,5746,73.3,1823.7,7.4,14.95,Running
Alice Cook,6403,91.5,3259.5,9.3,2.97,Resting
Kevin Gay,13948,80.4,2677.7,5.9,7.94,Cycling
Lisa Santos,7791,89.6,1838.3,5.3,11.57,Running
John Christensen,9295,80.3,2181.0,4.7,1.14,Resting
Todd Diaz,11007,80.1,2349.1,7.9,6.0,Cycling
Jennifer Spence,3713,82.5,2646.5,6.1,2.39,Resting
Austin Thomas,12589,67.3,1495.4,5.3,14.24,Walking
Andrew Shaw,17985,92.8,1939.6,9.9,14.88,Running
James Carpenter,4404,83.4,1794.8,8.4,11.82,Running
Jessica Greene,16185,72.3,2219.0,9.8,14.87,Cycling
Scott Wise,4618,86.7,1897.6,5.6,4.74,Cycling
Joanna Barber,3547,75.6,2327.2,5.5,8.6,Resting
Leroy Stevens,7786,83.7,2325.3,7.0,5.9,Walking
Jose Hale,14490,79.7,1638.8,9.0,4.96,Walking
Bryan Jones,6844,67.8,1515.4,4.6,5.84,Running
Willie Ortega,16485,80.1,2028.7,9.2,7.51,Running
Connie Osborn,18253,71.2,2114.1,9.4,4.36,Walking
Renee Rose,11262,88.3,2763.7,5.8,6.34,Cycling
Heather Powell,13569,83.3,2518.0,6.4,2.05,Cycling
Catherine Black,16827,80.2,2708.5,9.0,3.16,Resting
Lauren Knapp,1018,57.7,2691.0,7.5,5.48,Resting
Sarah Smith,16634,79.3,1490.9,4.1,11.07,Resting
Bradley Phillips,10019,90.2,2174.1,9.7,14.9,Cycling
Janice Lester,6592,78.4,2942.5,4.1,7.75,Running
Leslie Foley,6600,52.4,2841.1,6.8,9.15,Walking
Shane Parsons,2280,87.0,3043.5,5.0,13.34,Resting
Maurice Robinson,12099,65.7,2145.2,9.3,7.22,Resting
Jackson West,19959,66.1,1503.6,5.1,14.29,Running
Andrea Lewis,18217,76.5,2755.7,7.1,3.64,Resting
Terry Roberts,3529,77.1,2434.3,4.3,4.44,Cycling
Amanda Cruz,9188,74.3,2412.8,5.9,2.81,Running
Amy Young,14726,82.0,2254.3,8.5,13.62,Walking
Dr. Carlos Baker MD,5570,65.0,2063.6,7.5,1.59,Running
Paul Lam,6162,91.9,2387.9,8.2,2.99,Resting
Kevin Ball,14501,84.3,2850.2,5.7,2.25,Cycling
Patrick Mcbride,13634,80.5,2253.0,4.4,2.48,Resting
Preston Villanueva,13918,88.9,2838.7,6.1,8.5,Cycling
Matthew Brooks,8036,73.6,2595.4,7.9,9.92,Running
Donald Cowan,12981,90.3,2074.4,8.4,5.2,Cycling
Ashley Dyer,2527,74.0,2032.3,7.5,5.85,Walking
Billy Brown,2497,62.0,2038.6,4.8,5.76,Cycling
Crystal Parrish,19538,83.4,2154.7,7.3,13.71,Resting
Jose Rodriguez,10221,63.9,2113.2,5.5,13.16,Walking
Trevor Cunningham,9023,70.0,2284.8,7.3,4.92,Cycling
Amanda Osborne,4175,73.3,1672.5,9.6,11.34,Cycling
James Goodwin,4127,58.5,2070.4,7.3,3.81,Resting
Chloe Graham,5493,58.7,1487.3,5.4,8.57,Walking
Brittany Vance,14297,76.4,2455.8,9.0,10.16,Running
Cynthia Todd,16210,87.2,1664.4,9.6,6.67,Walking
Meghan Morgan,12851,75.6,1514.4,9.5,9.45,Resting
Madison Adams,19604,81.2,1792.8,4.2,1.96,Cycling
Kimberly Mcmahon,7971,80.2,1943.8,6.6,8.44,Walking
Judith Bentley,15012,69.9,2187.7,7.7,12.14,Walking
Christopher Hernandez,7527,60.4,2019.1,8.9,8.31,Resting
Angela Smith,5244,62.6,1908.0,7.8,3.86,Resting
Jeffery Sanchez,15283,84.4,2098.6,8.9,12.12,Cycling
Tina Hunt,3401,87.8,2776.5,6.2,2.57,Cycling
Kevin Ramirez,2929,59.1,2420.8,8.7,11.46,Cycling
Ashley Hernandez,8781,86.4,2270.4,5.0,1.14,Cycling
Sherri Adams,14632,76.8,2307.1,5.2,2.58,Running
Kelly Stanley,2081,55.5,2100.7,9.5,5.31,Walking
Kristen Ali,14421,81.3,3158.5,7.8,13.71,Running
Amanda Miller MD,4742,42.9,1289.5,5.7,11.36,Cycling
Brandon Williamson,11359,88.2,1722.0,5.4,3.92,Resting
Julie Hernandez,4233,72.2,2332.9,6.1,3.05,Walking
Christopher Kaufman,15354,60.2,2659.3,9.5,3.78,Walking
Kristen Johnson,8639,82.2,2156.1,6.7,2.54,Running
Scott Wright,4697,73.6,2004.0,5.0,1.86,Running
Jessica Ward,4540,80.4,2329.1,9.5,2.7,Cycling
Alexis Taylor,17782,80.1,1587.5,5.9,3.79,Walking
Tiffany Green,11093,92.0,2131.9,8.8,1.68,Resting
William Gonzalez,10905,71.4,2672.9,8.1,6.08,Walking
Anthony Berry,17131,72.0,2634.3,4.9,11.8,Running
Paul Quinn,9658,72.2,1323.1,9.9,6.51,Walking
Amanda Ball,18335,75.7,2758.2,8.9,9.59,Cycling
Brandi Erickson,13491,63.8,2025.9,9.4,2.14,Walking
Jack Cabrera,19083,82.1,1908.3,6.5,7.87,Walking
Wayne Oliver,4981,83.3,1484.0,6.1,12.24,Walking
Cristian Lee,12773,58.3,2211.5,4.7,3.69,Resting
Connor Nunez,16912,83.2,1767.6,9.7,7.53,Walking
Jennifer Pitts,19215,58.5,2270.9,7.6,1.58,Walking
Amanda King,14596,56.9,2041.0,5.6,4.27,Resting
Sandra Mendoza,4191,77.1,2112.7,4.7,13.83,Running
